,Data_path,Image_path,Condition,mPlate,Processing
p14_EXP,pyphe_quant/NewProject-Run-2-Plate-014-Exp.jpg.csv,images/NewProject-Run-2-Plate-014-Exp.jpg,LB+Salt,p_14,2024-03-11 15:46:07.495723
p15_CTRL,pyphe_quant/NewProject-Run-2-Plate-015-Ctrl.jpg.csv,images/NewProject-Run-2-Plate-015-Ctrl.jpg,LB,p_15,2024-03-11 15:46:07.495723
p15_EXP,pyphe_quant/NewProject-Run-2-Plate-015-Exp.jpg.csv,images/NewProject-Run-2-Plate-015-Exp.jpg,LB+Salt,p_15,2024-03-11 15:46:07.495723
p17_CTRL,pyphe_quant/NewProject-Run-2-Plate-017-Ctrl.jpg.csv,images/NewProject-Run-2-Plate-017-Ctrl.jpg,LB,p_17,2024-03-11 15:46:07.495723
p17_EXP,pyphe_quant/NewProject-Run-2-Plate-017-Exp.jpg.csv,images/NewProject-Run-2-Plate-017-Exp.jpg,LB+Salt,p_17,2024-03-11 15:46:07.495723
p18_CTRL,pyphe_quant/NewProject-Run-2-Plate-018-Ctrl.jpg.csv,images/NewProject-Run-2-Plate-018-Ctrl.jpg,LB,p_18,2024-03-11 15:46:07.495723
p18_EXP,pyphe_quant/NewProject-Run-2-Plate-018-Exp.jpg.csv,images/NewProject-Run-2-Plate-018-Exp.jpg,LB+Salt,p_18,2024-03-11 15:46:07.495723
p19_CTRL,pyphe_quant/NewProject-Run-2-Plate-019-Ctrl.jpg.csv,images/NewProject-Run-2-Plate-019-Ctrl.jpg,LB,p_19,2024-03-11 15:46:07.495723
p19_EXP,pyphe_quant/NewProject-Run-2-Plate-019-Exp.jpg.csv,images/NewProject-Run-2-Plate-019-Exp.jpg,LB+Salt,p_19,2024-03-11 15:46:07.495723
p20_CTRL,pyphe_quant/NewProject-Run-2-Plate-020-Ctrl.jpg.csv,images/NewProject-Run-2-Plate-020-Ctrl.jpg,LB,p_20,2024-03-11 15:46:07.495723
p20_EXP,pyphe_quant/NewProject-Run-2-Plate-020-Exp.jpg.csv,images/NewProject-Run-2-Plate-020-Exp.jpg,LB+Salt,p_20,2024-03-11 15:46:07.495723
p21_CTRL,pyphe_quant/NewProject-Run-2-Plate-021-Ctrl.jpg.csv,images/NewProject-Run-2-Plate-021-Ctrl.jpg,LB,p_21,2024-03-11 15:46:07.495723
p21_EXP,pyphe_quant/NewProject-Run-2-Plate-021-Exp.jpg.csv,images/NewProject-Run-2-Plate-021-Exp.jpg,LB+Salt,p_21,2024-03-11 15:46:07.495723
p23_CTRL,pyphe_quant/NewProject-Run-2-Plate-023-Ctrl.jpg.csv,images/NewProject-Run-2-Plate-023-Ctrl.jpg,LB,p_23,2024-03-11 15:46:07.495723
p23_EXP,pyphe_quant/NewProject-Run-2-Plate-023-Exp.jpg.csv,images/NewProject-Run-2-Plate-023-Exp.jpg,LB+Salt,p_23,2024-03-11 15:46:07.495723
p24_CTRL,pyphe_quant/NewProject-Run-2-Plate-024-Ctrl.jpg.csv,images/NewProject-Run-2-Plate-024-Ctrl.jpg,LB,p_24,2024-03-11 15:46:07.495723
p24_EXP,pyphe_quant/NewProject-Run-2-Plate-024-Exp.jpg.csv,images/NewProject-Run-2-Plate-024-Exp.jpg,LB+Salt,p_24,2024-03-11 15:46:07.495723
p25_CTRL,pyphe_quant/NewProject-Run-2-Plate-025-Ctrl.jpg.csv,images/NewProject-Run-2-Plate-025-Ctrl.jpg,LB,p_25,2024-03-11 15:46:07.495723
p25_EXP,pyphe_quant/NewProject-Run-2-Plate-025-Exp.jpg.csv,images/NewProject-Run-2-Plate-025-Exp.jpg,LB+Salt,p_25,2024-03-11 15:46:07.495723
